	SYMBOL	TRAIN_OCCURRENCES_COUNT	VAL_OCCURRENCES_COUNT	TEST_OCCURRENCES_COUNT	REST_OCCURRENCES_COUNT	TOTAL_OCCURRENCES_COUNT	TRAIN_OCCURRENCES_PERCENT	VAL_OCCURRENCES_PERCENT	TEST_OCCURRENCES_PERCENT	REST_OCCURRENCES_PERCENT	TRAIN_OCCURRENCES_DISTRIBUTION_PERCENT	VAL_OCCURRENCES_DISTRIBUTION_PERCENT	TEST_OCCURRENCES_DISTRIBUTION_PERCENT	REST_OCCURRENCES_DISTRIBUTION_PERCENT	TOTAL_OCCURRENCES_DISTRIBUTION_PERCENT	TRAIN_UTTERANCE_OCCURRENCES_COUNT	VAL_UTTERANCE_OCCURRENCES_COUNT	TEST_UTTERANCE_OCCURRENCES_COUNT	REST_UTTERANCE_OCCURRENCES_COUNT	TOTAL_UTTERANCE_OCCURRENCES_COUNT	TRAIN_UTTERANCE_OCCURRENCES_PERCENT	VAL_UTTERANCE_OCCURRENCES_PERCENT	TEST_UTTERANCE_OCCURRENCES_PERCENT	REST_UTTERANCE_OCCURRENCES_PERCENT	TRAIN_UNIFORM_OCCURRENCES_COUNT	VAL_UNIFORM_OCCURRENCES_COUNT	TEST_UNIFORM_OCCURRENCES_COUNT	REST_UNIFORM_OCCURRENCES_COUNT	TOTAL_UNIFORM_OCCURRENCES_COUNT	UNIFORM_OCCURRENCES_PERCENT
14	('l',)	0	742	0	24239	24981	0.0	2.970257395620672	0.0	97.02974260437932	0	2.950415523480059	0	2.7752016798448387	2.7801055685577976	0	215	0	8832	9047	0.0	2.376478390626727	0.0	97.62352160937327	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
12	('j',)	0	641	0	23228	23869	0.0	2.6854916418785875	0.0	97.31450835812142	0	2.5488090977772475	0	2.6594490127247785	2.656352420475804	0	213	0	8713	8926	0.0	2.3862872507282096	0.0	97.61371274927178	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
26	('ð',)	0	603	0	22298	22901	0.0	2.633072791581154	0.0	97.36692720841884	0	2.3977096504831206	0	2.5529702981632996	2.54862485991522	0	208	0	8705	8913	0.0	2.333669920341075	0.0	97.66633007965892	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
25	('æ',)	0	630	0	21024	21654	0.0	2.9093931837073983	0.0	97.0906068162926	0	2.5050697840868423	0	2.407105908538219	2.409847723531906	0	206	0	8435	8641	0.0	2.3839833352621222	0.0	97.61601666473788	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
13	('k',)	0	595	0	20720	21315	0.0	2.7914614121510675	0.0	97.20853858784893	0	2.3658992405264625	0	2.3722999631331763	2.372120819575255	0	202	0	8376	8578	0.0	2.354861273024015	0.0	97.64513872697599	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
24	('z',)	0	579	0	20542	21121	0.0	2.741347474077932	0.0	97.25865252592207	0	2.3022784206131455	0	2.351920166152592	2.3505307919422456	0	199	0	8482	8681	0.0	2.292362631033291	0.0	97.70763736896672	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
11	('i',)	0	622	0	20102	20724	0.0	3.001351090523065	0.0	96.99864890947694	0	2.473259374130184	0	2.301543139908451	2.3063491374561385	0	209	0	8364	8573	0.0	2.4378863874956256	0.0	97.56211361250438	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
31	('ɛ',)	0	540	0	19866	20406	0.0	2.646280505733608	0.0	97.35371949426639	0	2.1472026720744366	0	2.2745227349229578	2.2709592983463596	0	196	0	8309	8505	0.0	2.3045267489711936	0.0	97.6954732510288	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
15	('m',)	0	519	0	17626	18145	0.0	2.8602920914852574	0.0	97.13970790851474	0	2.063700345938208	0	2.0180578740436954	2.019335316499789	0	200	0	7963	8163	0.0	2.4500796275878964	0.0	97.5499203724121	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
35	('ɹ̩',)	0	515	0	17492	18007	0.0	2.8599988893208197	0.0	97.14000111067918	0	2.047795140959879	0	2.002715779687525	2.003977461791772	0	198	0	7963	8161	0.0	2.426173263080505	0.0	97.5738267369195	0.0	613.390243902439	0.0	21302.780487804877	21916.170731707316	2.4390243902439024
